Year,st,State,Gini,,,
1924,13,Idaho,0.32,,,
1924,14,Illinois,0.44,,,
1924,15,Indiana,0.39,,,
1924,16,Iowa,0.38,,,
1924,17,Kansas,0.37,,,
1924,18,Kentucky,0.42,,,
1924,19,Louisiana,0.41,,,
1924,20,Maine,0.43,,,
1924,21,Maryland,0.43,,,
1924,22,Massachusetts,0.48,,,
1924,23,Michigan,0.43,,,
1924,24,Minnesota,0.41,,,
1924,25,Mississippi,0.39,,,
1924,26,Missouri,0.43,,,
1924,27,Montana,0.32,,,
1924,28,Nebraska,0.36,,,
1924,29,Nevada,0.32,,,
1924,30,New Hampshire,0.42,,,
1924,31,New Jersey,0.44,,,
1924,32,New Mexico,0.33,,,
1924,33,New York,0.51,,,
1924,34,North Carolina,0.41,,,
1924,35,North Dakota,0.32,,,
1924,36,Ohio,0.43,,,
1924,37,Oklahoma,0.40,,,
1924,38,Oregon,0.38,,,
1924,39,Pennsylvania,0.44,,,
1924,40,Rhode Island,0.47,,,
1924,41,South Carolina,0.38,,,
1924,42,South Dakota,0.29,,,
1924,43,Tennessee,0.41,,,
1924,44,Texas,0.38,,,
1924,45,Utah,0.35,,,
1924,46,Vermont,0.41,,,
1924,47,Virginia,0.40,,,
1924,48,Washington,0.33,,,
1924,49,West Virginia,0.38,,,
1924,50,Wisconsin,0.41,,,
1924,51,Wyoming,0.32,,,
1925,0,United States,0.52,,,
1925,1,Alabama,0.43,,,
1925,3,Arizona,0.38,,,
1925,4,Arkansas,0.44,,,
1925,5,California,0.48,,,
1925,6,Colorado,0.45,,,
1925,7,Connecticut,0.54,,,
1925,8,Delaware,0.61,,,
1925,9,District of Columbia,0.49,,,
1925,10,Florida,0.55,,,
1925,11,Georgia,0.45,,,
1925,13,Idaho,0.33,,,
1925,14,Illinois,0.51,,,
1925,15,Indiana,0.46,,,
1925,16,Iowa,0.43,,,
1925,17,Kansas,0.41,,,
1925,18,Kentucky,0.45,,,
1925,19,Louisiana,0.44,,,
1925,20,Maine,0.52,,,
1925,21,Maryland,0.51,,,
1925,22,Massachusetts,0.55,,,
1925,23,Michigan,0.52,,,
1925,24,Minnesota,0.45,,,
1925,25,Mississippi,0.43,,,
1925,26,Missouri,0.50,,,
1925,27,Montana,0.35,,,
1925,28,Nebraska,0.41,,,
1925,29,Nevada,0.36,,,
1925,30,New Hampshire,0.46,,,
1925,31,New Jersey,0.51,,,
1925,32,New Mexico,0.37,,,
1925,33,New York,0.60,,,
1925,34,North Carolina,0.46,,,
1925,35,North Dakota,0.34,,,
1925,36,Ohio,0.49,,,
1925,37,Oklahoma,0.51,,,
1925,38,Oregon,0.42,,,
1925,39,Pennsylvania,0.53,,,
1925,40,Rhode Island,0.54,,,
1925,41,South Carolina,0.38,,,
1925,42,South Dakota,0.31,,,
1925,43,Tennessee,0.46,,,
1925,44,Texas,0.42,,,
1925,45,Utah,0.40,,,
1925,46,Vermont,0.46,,,
1925,47,Virginia,0.44,,,
1925,48,Washington,0.38,,,
1925,49,West Virginia,0.43,,,
1925,50,Wisconsin,0.45,,,
1925,51,Wyoming,0.37,,,
1926,0,United States,0.52,,,
1926,1,Alabama,0.45,,,
1926,3,Arizona,0.40,,,
1926,4,Arkansas,0.43,,,
1926,5,California,0.51,,,
1926,6,Colorado,0.46,,,
1926,7,Connecticut,0.54,,,
1926,8,Delaware,0.67,,,
1926,9,District of Columbia,0.50,,,
1926,10,Florida,0.52,,,
1926,11,Georgia,0.45,,,
1926,13,Idaho,0.32,,,
1926,14,Illinois,0.52,,,
1926,15,Indiana,0.49,,,
1926,16,Iowa,0.42,,,
1926,17,Kansas,0.43,,,
1926,18,Kentucky,0.46,,,
1926,19,Louisiana,0.44,,,
1926,20,Maine,0.53,,,
1926,21,Maryland,0.52,,,
1926,22,Massachusetts,0.54,,,
1926,23,Michigan,0.53,,,
1926,24,Minnesota,0.48,,,
1926,25,Mississippi,0.41,,,
1926,26,Missouri,0.50,,,
1926,27,Montana,0.38,,,
1926,28,Nebraska,0.40,,,
1926,29,Nevada,0.37,,,
1926,30,New Hampshire,0.47,,,
1926,31,New Jersey,0.51,,,
1926,32,New Mexico,0.38,,,
1926,33,New York,0.58,,,
1926,34,North Carolina,0.48,,,
1926,35,North Dakota,0.37,,,
1926,36,Ohio,0.51,,,
1926,37,Oklahoma,0.50,,,
1926,38,Oregon,0.43,,,
1926,39,Pennsylvania,0.53,,,
1926,40,Rhode Island,0.55,,,
1926,41,South Carolina,0.38,,,
1926,42,South Dakota,0.36,,,
1926,43,Tennessee,0.47,,,
1926,44,Texas,0.45,,,
1926,45,Utah,0.43,,,
1926,46,Vermont,0.46,,,
1926,47,Virginia,0.46,,,
1926,48,Washington,0.38,,,
1926,49,West Virginia,0.44,,,
1926,50,Wisconsin,0.48,,,
1926,51,Wyoming,0.38,,,
1927,0,United States,0.54,,,
1927,1,Alabama,0.45,,,
1927,3,Arizona,0.42,,,
1927,4,Arkansas,0.44,,,
1927,5,California,0.51,,,
1927,6,Colorado,0.48,,,
1927,7,Connecticut,0.56,,,
1927,8,Delaware,0.73,,,
1927,9,District of Columbia,0.51,,,
1927,10,Florida,0.50,,,
1927,11,Georgia,0.47,,,
1927,13,Idaho,0.33,,,
1927,14,Illinois,0.53,,,
1927,15,Indiana,0.49,,,
1927,16,Iowa,0.42,,,
1927,17,Kansas,0.41,,,
1927,18,Kentucky,0.49,,,
1927,19,Louisiana,0.45,,,
1927,20,Maine,0.53,,,
1927,21,Maryland,0.54,,,
1927,22,Massachusetts,0.57,,,
1927,23,Michigan,0.52,,,
1927,24,Minnesota,0.50,,,
1927,25,Mississippi,0.43,,,
1927,26,Missouri,0.51,,,
1927,27,Montana,0.39,,,
1927,28,Nebraska,0.41,,,
1927,29,Nevada,0.39,,,
1927,30,New Hampshire,0.51,,,
1927,31,New Jersey,0.52,,,
1927,32,New Mexico,0.39,,,
1927,33,New York,0.62,,,
1927,34,North Carolina,0.51,,,
1927,35,North Dakota,0.37,,,
1927,36,Ohio,0.52,,,
1927,37,Oklahoma,0.49,,,
1927,38,Oregon,0.41,,,
1927,39,Pennsylvania,0.55,,,
1927,40,Rhode Island,0.57,,,
